2013-01-13-01	63
2013-01-13-02	66
2013-01-13-03	58
2013-01-13-04	23
2013-01-13-05	6
2013-01-13-06	5
2013-01-13-07	18
2013-01-13-08	24
2013-01-13-09	17
2013-01-13-10	24
2013-01-13-11	48
2013-01-13-12	55
2013-01-13-13	53
2013-01-13-14	76
2013-01-13-15	57
2013-01-13-16	68
2013-01-13-17	39
2013-01-13-18	43
2013-01-13-19	39
2013-01-13-20	39
2013-01-13-21	25
2013-01-13-22	36
2013-01-13-23	33
2013-01-14-00	26
2013-01-14-01	10
2013-01-14-02	5
2013-01-14-03	5
2013-01-14-04	6
2013-01-14-05	9
2013-01-14-06	19
2013-01-14-07	63
2013-01-14-08	101
2013-01-14-09	67
2013-01-14-10	41
2013-01-14-11	62
2013-01-14-12	65
2013-01-14-13	66
2013-01-14-14	94
2013-01-14-15	105
2013-01-14-16	88
2013-01-14-17	51
2013-01-14-18	89
2013-01-14-19	79
2013-01-14-20	71
2013-01-14-21	62
2013-01-14-22	81
2013-01-14-23	46
2013-01-15-00	21
2013-01-15-01	16
2013-01-15-02	8
2013-01-15-03	10
2013-01-15-04	4
2013-01-15-05	7
2013-01-15-06	24
2013-01-15-07	59
2013-01-15-08	101
2013-01-15-09	70
2013-01-15-10	45
2013-01-15-11	82
2013-01-15-12	67
2013-01-15-13	74
2013-01-15-14	97
2013-01-15-15	81
2013-01-15-16	80
2013-01-15-17	32
2013-01-15-18	39
2013-01-15-19	54
2013-01-15-20	95
2013-01-15-21	87
2013-01-15-22	90
2013-01-15-23	49
2013-01-16-00	28
2013-01-16-01	18
2013-01-16-02	12
2013-01-16-03	3
2013-01-16-04	6
2013-01-16-05	7
2013-01-16-06	24
2013-01-16-07	73
2013-01-16-08	102
2013-01-16-09	74
2013-01-16-10	63
2013-01-16-11	89
2013-01-16-12	67
2013-01-16-13	90
2013-01-16-14	133
2013-01-16-15	83
2013-01-16-16	69
2013-01-16-17	38
2013-01-16-18	73
2013-01-16-19	95
2013-01-16-20	62
2013-01-16-21	98
2013-01-16-22	89
2013-01-16-23	75
2013-01-17-00	28
2013-01-17-01	18
2013-01-17-02	9
2013-01-17-03	6
2013-01-17-04	2
2013-01-17-05	5
2013-01-17-06	21
2013-01-17-07	60
2013-01-17-08	102
2013-01-17-09	74
2013-01-17-10	57
2013-01-17-11	98
2013-01-17-12	68
2013-01-17-13	105
2013-01-17-14	99
2013-01-17-15	103
2013-01-17-16	57
2013-01-17-17	40
2013-01-17-18	48
2013-01-17-19	64
2013-01-17-20	99
2013-01-17-21	92
2013-01-17-22	99
2013-01-17-23	72
2013-01-18-00	50
2013-01-18-01	28
2013-01-18-02	15
2013-01-18-03	6
2013-01-18-04	6
2013-01-18-05	9
2013-01-18-06	21
2013-01-18-07	46
2013-01-18-08	87
2013-01-18-09	58
2013-01-18-10	55
2013-01-18-11	80
2013-01-18-12	78
2013-01-18-13	105
2013-01-18-14	114
2013-01-18-15	86
2013-01-18-16	61
2013-01-18-17	24
2013-01-18-18	67
2013-01-18-19	76
2013-01-18-20	64
2013-01-18-21	82
2013-01-18-22	94
2013-01-18-23	101
2013-01-19-00	62
2013-01-19-01	49
2013-01-19-02	31
2013-01-19-03	28
2013-01-19-04	19
2013-01-19-05	5
2013-01-19-06	6
2013-01-19-07	20
2013-01-19-08	32
2013-01-19-09	23
2013-01-19-10	26
2013-01-19-11	48
2013-01-19-12	48
2013-01-19-13	69
2013-01-19-14	94
2013-01-19-15	93
2013-01-19-16	61
2013-01-19-17	46
2013-01-19-18	61
2013-01-19-19	81
2013-01-19-20	64
2013-01-19-21	64
2013-01-19-22	84
2013-01-19-23	119
2013-01-20-00	65
2013-01-20-01	63
2013-01-20-02	66
2013-01-20-03	41
2013-01-20-04	22
2013-01-20-05	10
2013-01-20-06	5
2013-01-20-07	14
2013-01-20-08	19
2013-01-20-09	21
2013-01-20-10	44
2013-01-20-11	51
2013-01-20-12	51
2013-01-20-13	83
2013-01-20-14	69
2013-01-20-15	89
2013-01-20-16	43
2013-01-20-17	59
2013-01-20-18	57
2013-01-20-19	56
2013-01-20-20	47
2013-01-20-21	48
2013-01-20-22	83
2013-01-20-23	61
2013-01-21-00	40
2013-01-21-01	27
2013-01-21-02	19
2013-01-21-03	16
2013-01-21-04	12
2013-01-21-05	6
2013-01-21-06	5
2013-01-21-07	19
2013-01-21-08	60
2013-01-21-09	29
2013-01-21-10	45
2013-01-21-11	57
2013-01-21-12	52
2013-01-21-13	92
2013-01-21-14	85
2013-01-21-15	63
2013-01-21-16	53
2013-01-21-17	44
2013-01-21-18	78
2013-01-21-19	60
2013-01-21-20	51
2013-01-21-21	55
2013-01-21-22	39
2013-01-21-23	29
2013-01-22-00	25
2013-01-22-01	10
2013-01-22-02	12
2013-01-22-03	6
2013-01-22-04	3
2013-01-22-05	7
